GTA06,Population,Worked in 2010_Full-time,Worked in 2010_Part-time,Worked at home,Avg Pop Density,Avg Median Age,Family Size 2,Family Size 3,Family Size 4,Family Size 5+,Avg Median income,Avg Average income,15+_No certificate/diploma/degree,15+_HS diploma/equivalent,15+_Post HS diploma,15+_Apprentice/trades certificate,15+_College certificate/diploma,15+_University <bachelor's,15+_University bachelor's+,15+_University_Bachelor's degree,15+_University_Above bachelor's,In labour force,In labour force_Employed,In labour force_Unemployed,Not in labour force,Avg Participation rate,Avg Employment rate,Avg Unemployment rate,Mode to work_Drove car/truck/van,Mode to work_Rode in car/truck/van,Mode to work_Public transit,Mode to work_Walked,Mode to work_Bicycle,Mode to work_Other methods,Avg Median commuting duration
5249,861.797022,343.286004,108.531316,50.116948,108.709829,44.996486,126.227038,52.170832,54.252825,29.21635,40412.01006,50438.55877,116.842179,152.370507,428.791952,67.832225,158.600599,21.912263,178.364872,98.04313,80.32052,466.421828,442.420239,22.960592,231.584033,66.906209,63.505505,4.901054,326.590946,30.251236,22.938593,6.264313,4.168876,0.003666,21.005505
5250,1852.734897,793.945994,281.587766,181.069228,48.375755,41.994755,237.579551,120.055748,115.250575,68.586716,35315.69676,47509.96198,227.776076,413.9409,882.022158,176.235907,367.522587,51.420775,291.728707,149.668354,139.616016,1102.515109,1041.286824,63.671176,423.668343,72.205159,68.205978,5.798045,754.783591,53.898887,19.656885,22.080972,0.005784,7.333219,25.696747
5229,4486.115699,2158.975503,482.213071,168.040176,894.848063,35.001014,431.115091,303.209226,420.083023,149.776746,43727.49839,51541.5174,412.866271,909.62911,2100.562727,211.907442,938.852493,84.022164,865.782402,613.721686,252.059799,2747.119426,2622.910365,124.209948,675.939598,80.29759,76.697577,4.500161,2115.139075,116.898907,102.279727,105.935219,0.000119,0.005619,25.398708
5248,1864.624978,735.543556,229.257496,102.932958,125.31897,44.87712,268.614373,112.467268,118.430913,61.62374,40563.8891,50808.96751,243.233154,335.709531,929.317627,137.016513,338.249205,50.90098,398.828187,215.839773,183.156995,1000.630461,943.143513,55.792612,507.681236,66.507877,62.684313,5.631971,695.409855,63.385584,48.057972,19.715866,8.328278,0.716877,20.957708
5224,1802.877393,772.443268,273.646493,176.313545,48.351641,42.01672,231.396504,116.659849,112.126114,66.750986,35318.40191,47561.68614,221.857447,402.982652,857.982599,171.408542,357.07411,50.068383,284.184505,145.996736,135.809763,1072.365617,1012.900714,61.83466,412.815998,72.178269,68.184854,5.791404,734.264917,52.253385,19.047354,21.420182,0,7.167021,25.721877
5219,1395.54049,569.730261,159.100879,120.734097,30.340581,49.852223,273.339029,62.925339,67.207275,41.577657,32706.85867,42941.91328,243.702966,357.395577,602.097465,124.136202,224.52023,47.526606,209.347925,139.222827,69.905531,762.108113,713.971016,48.280157,439.733771,63.433348,59.466043,6.353572,523.492755,26.709106,15.384191,12.991927,0,0.543939,29.534566
5252,1600.257567,551.985668,159.529534,88.143844,1715.93854,49.893522,228.154591,98.212428,88.366401,29.113948,38481.75369,62820.33586,127.486441,272.582313,803.04594,107.270496,201.879373,27.193169,464.560369,212.524971,249.892912,749.356608,685.095322,64.261373,453.758043,62.318412,56.968099,8.629017,453.271776,36.093399,48.317738,41.576666,8.885344,0.000263,20.21065
5036,1450.10044,502.221755,196.87612,112.64913,28.754123,42.470241,187.878867,69.257634,84.62364,64.676136,34274.05883,42550.455,110.284846,257.312318,547.922679,83.891364,239.098445,36.885669,188.0472,121.760379,63.676701,712.401124,665.086121,47.315003,203.119647,77.877406,72.679023,6.600047,478.839658,41.982372,13.158968,10.557516,0,0,20.700273
5065,2496.332046,1035.04981,307.372589,124.056301,1123.565567,42.998201,281.455763,153.694502,196.264259,88.871424,48233.78202,64311.42255,172.209422,401.819094,1401.666157,96.290414,346.313522,129.591935,829.470327,468.454459,359.165269,1386.876618,1314.650812,72.225806,590.668698,70.200109,66.499432,5.201004,1036.916189,57.403267,40.729322,27.776737,0.000086,0.000514,20.700054
5059,5569.042343,2347.875874,724.330228,274.769501,1961.922384,40.002451,674.360675,394.596474,414.646615,174.86868,44933.10969,53807.33334,429.581998,989.049032,3162.125837,244.763139,1043.835701,204.890565,1668.636453,1054.029802,614.602426,3236.996699,3017.244099,219.7526,1343.763819,70.60055,65.801311,6.798809,2417.746519,144.85869,64.965075,74.920509,0.000044,0.000263,20.799912
5216,2785.470204,1201.786885,380.799243,256.312197,30.880972,44.931695,446.744049,149.505192,155.789767,97.996293,32446.65764,43980.94674,519.420351,699.747652,1126.344139,213.493857,473.924951,79.29349,362.398284,239.383845,120.87953,1642.274205,1569.385443,70.753852,701.854715,70.170846,67.081092,4.436776,1143.842488,87.682205,18.853725,43.841103,0,0,24.61716
5004,1176.7141,0.247511,0.059227,0.021893,59.990293,42.998624,155.344178,76.919821,78.432653,40.720171,40867,50130,0.062223,0.093796,0.256498,0.043556,0.11085,0.017515,0.084347,0.052083,0.032264,0.317109,0.30282,0.014058,0.095409,76.800003,73.400002,4.4,0.258573,0.01521,0.003687,0.002074,0,0.001383,30
5001,3676.642571,1691.003513,404.64423,149.576661,105.365575,34.001507,467.651032,244.059577,280.273137,114.944974,40867,50130,425.112615,640.817905,1752.408669,297.578831,757.330251,119.661329,576.263767,355.835004,220.428763,2166.499846,2068.881394,96.043961,651.839343,76.800003,73.400002,4.4,1766.579089,103.916417,25.191859,14.170421,0,9.446947,30
5005,403.129754,185.422422,44.37017,16.401425,105.370036,34,51.276033,26.760219,30.73109,12.6032,40867,50130,46.614575,70.267156,192.155639,32.630203,83.043003,13.12114,63.188647,39.018126,24.170521,237.561688,226.8576,10.531441,71.475682,76.800003,73.400002,4.4,193.709458,11.394674,2.762345,1.553819,0,1.035879,30
5002,405.752387,186.628721,44.658828,16.508127,105.370036,34,51.609618,26.934313,30.931017,12.685192,40867,50130,46.917835,70.724292,193.405742,32.842484,83.583254,13.206502,63.599732,39.271966,24.327766,239.107188,228.333463,10.599955,71.94068,76.800003,73.400002,4.4,194.96967,11.468804,2.780316,1.563928,0,1.042619,30
5006,232.431301,106.898906,25.580092,9.455676,105.362922,34.002403,29.564167,15.429038,17.718333,7.266658,40867,50130,26.874027,40.510107,110.780709,18.811819,47.875581,7.564541,36.429236,22.494556,13.93468,136.958002,130.786929,6.071539,41.206841,76.800003,73.400002,4.4,111.67651,6.569206,1.592535,0.895801,0,0.597201,30
5007,448.855613,206.454359,49.402952,18.261792,105.370036,34,57.092127,29.795555,34.21683,14.032745,40867,50130,51.901934,78.237359,213.951305,36.331354,92.462334,14.609433,70.355955,43.443841,26.912114,264.507633,252.589411,11.725992,79.582965,76.800003,73.400002,4.4,215.681369,12.687139,3.07567,1.730064,0,1.153376,30
5003,1697.72001,780.878497,186.858262,69.07212,105.370036,34,215.94126,112.696617,129.419341,53.076471,40867,50130,196.310237,295.919505,809.23442,137.417166,349.723051,55.257696,266.109432,164.318939,101.790493,1000.455132,955.376485,44.351572,301.00903,76.800003,73.400002,4.4,815.778095,47.986947,11.633199,6.543675,0,4.36245,30
5009,443.676953,204.072397,48.832967,18.051097,105.370036,34,56.433428,29.451789,33.822055,13.870843,40867,50130,51.303117,77.334698,211.482847,35.912182,91.395552,14.440877,69.544225,42.942609,26.601616,261.455883,249.675168,11.590704,78.664779,76.800003,73.400002,4.4,213.192951,12.540762,3.040185,1.710104,0,1.140069,30
5010,258.489795,118.894235,28.450483,10.516715,105.370036,34,32.878573,17.158851,19.705004,8.081266,40867,50130,29.889612,45.055823,123.211624,20.922729,53.247791,8.413372,40.51703,25.018712,15.498317,152.32632,145.46278,6.752838,45.830739,76.800003,73.400002,4.4,124.207944,7.30635,1.771236,0.99632,0,0.664214,30
5013,852.505143,1.749285,0.41859,0.154732,60.093962,42.986545,112.527198,55.730286,56.855548,29.489514,40867,50130,0.439764,0.662904,1.812806,0.307835,0.783432,0.123786,0.596125,0.368099,0.228026,2.241169,2.140186,0.099354,0.674305,76.800003,73.400002,4.4,1.827465,0.107498,0.02606,0.014659,0,0.009773,30
5015,254.627653,117.117816,28.025399,10.359583,105.370036,34,32.387329,16.902478,19.410588,7.960522,40867,50130,29.443026,44.382636,121.370697,20.610118,52.452206,8.287667,39.911658,24.644903,15.266754,150.050386,143.289395,6.651943,45.145974,76.800003,73.400002,4.4,122.352132,7.197184,1.744772,0.981434,0,0.654289,30
5014,442.120225,203.356369,48.661626,17.987761,105.370036,34,56.23542,29.348452,33.703383,13.822174,40867,50130,51.12311,77.063354,210.740818,35.786177,91.074873,14.390209,69.300215,42.791936,26.508279,260.538514,248.799133,11.550036,78.388768,76.800003,73.400002,4.4,212.444922,12.49676,3.029518,1.704104,0,1.136069,30
5031,81.519459,1.026546,0.319062,0.055489,61.860811,42.806714,10.734782,5.344776,5.431623,2.816531,27879,36909,0.610379,0.707484,1.158332,0.166467,0.534081,0.117914,0.33987,0.21502,0.117914,1.491266,1.338671,0.152595,0.984929,60.400002,54.200001,10.2,1.047354,0.09017,0.110978,0,0,0,20.6
5023,136.293667,0.008552,0.002046,0.000756,59.982,42.99959,17.99305,8.909243,9.084093,4.716586,40867,50130,0.00215,0.003241,0.008863,0.001505,0.00383,0.000605,0.002914,0.0018,0.001115,0.010957,0.010463,0.000486,0.003297,76.800003,73.400002,4.4,0.008934,0.000526,0.000127,0.000072,0,0.000048,30
