UNIQUEID,BUSNAME,Class,LATITUDE,LONGITUDE
43803980,POPEYES CHICKEN,Chicken,43.893007,-79.442145
15061740,POPEYE'S CHICKEN,Chicken,43.774844,-79.322672
46335436,POPEYE'S CHICKEN,Chicken,43.700896,-79.518531
48447957,POPEYE'S CHICKEN & BISCUIT,Chicken,43.756037,-79.51726
44430031,POPEYES CHICKEN & BISCUITS,Chicken,43.737715,-79.21816
48283576,POPEYES CHICKEN & BISCUITS,Chicken,43.713285,-79.554025
15667702,POPEYE'S CHICKEN & BISCUITS,Chicken,43.751783,-79.263298
15667710,POPEYE'S CHICKEN & BISCUITS,Chicken,43.654961,-79.380179
26113605,POPEYE'S CHICKEN & BISCUITS,Chicken,43.792558,-79.418561
30678403,POPEYE'S CHICKEN & BISCUITS,Chicken,43.740067,-79.58205
30742423,POPEYE'S CHICKEN & BISCUITS,Chicken,43.865334,-79.291961
32744419,POPEYE'S CHICKEN & BISCUITS,Chicken,43.723614,-79.509148
32744427,POPEYE'S CHICKEN & BISCUITS,Chicken,43.787732,-79.353328
33126640,POPEYE'S CHICKEN & BISCUITS,Chicken,43.587325,-79.626144
34213165,POPEYE'S CHICKEN & BISCUITS,Chicken,43.519648,-79.682881
36300549,POPEYE'S CHICKEN & BISCUITS,Chicken,43.697035,-79.4435
38573846,POPEYE'S CHICKEN & BISCUITS,Chicken,43.637058,-79.622676
39084991,POPEYE'S CHICKEN & BISCUITS,Chicken,43.658025,-79.399066
40725616,POPEYE'S CHICKEN & BISCUITS,Chicken,43.849204,-79.072018
41845926,POPEYE'S CHICKEN & BISCUITS,Chicken,43.789907,-79.196113
43322973,POPEYE'S CHICKEN & BISCUITS,Chicken,43.689095,-79.297337
48625149,POPEYE'S CHICKEN & BISCUITS,Chicken,43.670031,-79.386509
50200856,POPEYE'S CHICKEN & BISCUITS,Chicken,43.879795,-79.394473
46635124,POPEYES CHICKEN & BISQUIT,Chicken,43.667675,-79.735144
31632029,POPEYES CHICKEN & BISQUITS,Chicken,43.71731,-79.723459
52762143,POPEYES CHICKEN & SEA FOOD,Chicken,43.556429,-79.644109
53101390,POPEYES CHICKEN & SEAFOOD,Chicken,44.056667,-79.472599
53219507,POPEYES CHICKEN & SEAFOOD,Chicken,43.76837,-79.556388
15134976,MC DONALD'S,Hamburger,43.837102,-79.088797
15135007,MC DONALD'S,Hamburger,43.842319,-79.026598
15135403,MC DONALD'S,Hamburger,43.775531,-79.345379
15135502,MC DONALD'S,Hamburger,43.866212,-79.288089
15135536,MC DONALD'S,Hamburger,43.757731,-79.514437
15135627,MC DONALD'S,Hamburger,43.810831,-79.27096
15135684,MC DONALD'S,Hamburger,44.065934,-79.430863
15135718,MC DONALD'S,Hamburger,43.769974,-79.372744
15135858,MC DONALD'S,Hamburger,43.726996,-79.795035
15135882,MC DONALD'S,Hamburger,44.047443,-79.478452
15135999,MC DONALD'S,Hamburger,43.984087,-79.4625
15136005,MC DONALD'S,Hamburger,43.700966,-79.469271
15136070,MC DONALD'S,Hamburger,43.716516,-79.507564
15136179,MC DONALD'S,Hamburger,43.687308,-79.285285
15136245,MC DONALD'S,Hamburger,43.751783,-79.263298
15136369,MC DONALD'S,Hamburger,43.793811,-79.328687
15136385,MC DONALD'S,Hamburger,43.806106,-79.219764
15136401,MC DONALD'S,Hamburger,43.715114,-79.45478
15136476,MC DONALD'S,Hamburger,43.778284,-79.309496
15136526,MC DONALD'S,Hamburger,43.703817,-79.740404
15136567,MC DONALD'S,Hamburger,43.85629,-79.332127
15136641,MC DONALD'S,Hamburger,43.815438,-79.321786
15136963,MC DONALD'S,Hamburger,43.789493,-79.446367
15137078,MC DONALD'S,Hamburger,43.800739,-79.143221
15137268,MC DONALD'S,Hamburger,43.892846,-79.264145
15137359,MC DONALD'S,Hamburger,43.601389,-79.626154
15137375,MC DONALD'S,Hamburger,43.600475,-79.593452
15137458,MC DONALD'S,Hamburger,43.610434,-79.561275
15137466,MC DONALD'S,Hamburger,43.662357,-79.594289
15137482,MC DONALD'S,Hamburger,43.689927,-79.348862
15137508,MC DONALD'S,Hamburger,43.66809,-79.441755
15137524,MC DONALD'S,Hamburger,43.638698,-79.428044
15137664,MC DONALD'S,Hamburger,43.514635,-79.626158
15137680,MC DONALD'S,Hamburger,43.732826,-79.419566
15137698,MC DONALD'S,Hamburger,43.66843,-79.395739
15137748,MC DONALD'S,Hamburger,43.450592,-79.701961
15137755,MC DONALD'S,Hamburger,43.717691,-79.569708
15137771,MC DONALD'S,Hamburger,43.651438,-79.475363
15137797,MC DONALD'S,Hamburger,43.921609,-80.087022
15137813,MC DONALD'S,Hamburger,43.706995,-79.397564
15137821,MC DONALD'S,Hamburger,43.657041,-79.452727
15137862,MC DONALD'S,Hamburger,43.738821,-79.606421
15137904,MC DONALD'S,Hamburger,43.602444,-79.498245
15137946,MC DONALD'S,Hamburger,43.715655,-79.628605
15138001,MC DONALD'S,Hamburger,43.630805,-79.5775
15138019,MC DONALD'S,Hamburger,43.615559,-79.662064
15138027,MC DONALD'S,Hamburger,43.662705,-79.383749
15138035,MC DONALD'S,Hamburger,43.653408,-79.390954
15138084,MC DONALD'S,Hamburger,43.640514,-79.627407
15138134,MC DONALD'S,Hamburger,43.567115,-79.569308
15138159,MC DONALD'S,Hamburger,43.681548,-79.426946
15138191,MC DONALD'S,Hamburger,43.713509,-79.335746
15138266,MC DONALD'S,Hamburger,43.650762,-79.378413
15138332,MC DONALD'S,Hamburger,44.115805,-79.564994
22992275,MC DONALD'S,Hamburger,43.683936,-79.320516
22992317,MC DONALD'S,Hamburger,43.664972,-79.319296
23028053,MC DONALD'S,Hamburger,43.688457,-79.391989
23028095,MC DONALD'S,Hamburger,43.64188,-79.391105
24143489,MC DONALD'S,Hamburger,43.783159,-79.577204
24183873,MC DONALD'S,Hamburger,43.787732,-79.353328
25464579,MC DONALD'S,Hamburger,43.646707,-79.379284
25513060,MC DONALD'S,Hamburger,44.066041,-79.483265
26088963,MC DONALD'S,Hamburger,43.653174,-79.379729
26833665,MC DONALD'S,Hamburger,43.64968,-79.894561
27247378,MC DONALD'S,Hamburger,43.705015,-79.349532
27532365,MC DONALD'S,Hamburger,43.865646,-79.291426
27813328,MC DONALD'S,Hamburger,43.864488,-79.011882
28012359,MC DONALD'S,Hamburger,43.645764,-79.38736
29152733,MC DONALD'S,Hamburger,43.693239,-79.558005
29453198,MC DONALD'S,Hamburger,44.108791,-79.123402
29688801,MC DONALD'S,Hamburger,43.668589,-79.339004
29869211,MC DONALD'S,Hamburger,43.650694,-79.909386
29906146,MC DONALD'S,Hamburger,43.678115,-79.719823
30647671,MC DONALD'S,Hamburger,43.649753,-79.396909
30784722,MC DONALD'S,Hamburger,43.92036,-79.449841
31030851,MC DONALD'S,Hamburger,43.862122,-79.021523
31467434,MC DONALD'S,Hamburger,43.929437,-80.099887
31570195,MC DONALD'S,Hamburger,43.724085,-79.30083
31603434,MC DONALD'S,Hamburger,43.61099,-79.694232
31624893,MC DONALD'S,Hamburger,43.398103,-79.707601
31631344,MC DONALD'S,Hamburger,43.659938,-79.725359
32334484,MC DONALD'S,Hamburger,43.808891,-79.450939
32334500,MC DONALD'S,Hamburger,43.795912,-79.532151
32422065,MC DONALD'S,Hamburger,44.298615,-79.472959
32744013,MC DONALD'S,Hamburger,43.761928,-79.411163
32779365,MC DONALD'S,Hamburger,43.725314,-79.286709
32792160,MC DONALD'S,Hamburger,43.615042,-79.556391
33042680,MC DONALD'S,Hamburger,43.739724,-79.693844
33333295,MC DONALD'S,Hamburger,43.710372,-79.376781
33886003,MC DONALD'S,Hamburger,43.77358,-79.530753
34225102,MC DONALD'S,Hamburger,43.860286,-79.711598
34225110,MC DONALD'S,Hamburger,43.759309,-79.731257
34412858,MC DONALD'S,Hamburger,43.740067,-79.58205
35154194,MC DONALD'S,Hamburger,44.008531,-79.363603
35258003,MC DONALD'S,Hamburger,43.695882,-79.448937
35269679,MC DONALD'S,Hamburger,43.649574,-79.370777
35269687,MC DONALD'S,Hamburger,43.672049,-79.377964
35773886,MC DONALD'S,Hamburger,43.664838,-79.685631
35840941,MC DONALD'S,Hamburger,43.732435,-79.826292
35975598,MC DONALD'S,Hamburger,43.753456,-79.358158
35995547,MC DONALD'S,Hamburger,43.769557,-79.18773
35995562,MC DONALD'S,Hamburger,43.758932,-79.229141
35995604,MC DONALD'S,Hamburger,43.796822,-79.315888
36017846,MC DONALD'S,Hamburger,43.63946,-79.537405
36350825,MC DONALD'S,Hamburger,43.664392,-79.384453
36350833,MC DONALD'S,Hamburger,43.656124,-79.382351
36350841,MC DONALD'S,Hamburger,43.676544,-79.357641
36557411,MC DONALD'S,Hamburger,43.824526,-79.304009
36572857,MC DONALD'S,Hamburger,43.850935,-79.532301
36850659,MC DONALD'S,Hamburger,43.715498,-79.447422
37319670,MC DONALD'S,Hamburger,43.465369,-79.743136
37332665,MC DONALD'S,Hamburger,43.529115,-79.654743
37798600,MC DONALD'S,Hamburger,43.802313,-79.602777
37798618,MC DONALD'S,Hamburger,43.877281,-79.405711
37940574,MC DONALD'S,Hamburger,43.651424,-79.383556
37940582,MC DONALD'S,Hamburger,43.652851,-79.375468
38097051,MC DONALD'S,Hamburger,43.84797,-79.073808
38365300,MC DONALD'S,Hamburger,43.724906,-79.252669
38573499,MC DONALD'S,Hamburger,43.593614,-79.667622
38625109,MC DONALD'S,Hamburger,43.720192,-79.672845
38651659,MC DONALD'S,Hamburger,43.639022,-80.026296
39136148,MC DONALD'S,Hamburger,43.645664,-79.379776
39731385,MC DONALD'S,Hamburger,44.060024,-79.481783
39749114,MC DONALD'S,Hamburger,43.85573,-79.433541
39749411,MC DONALD'S,Hamburger,43.875486,-79.415197
39756788,MC DONALD'S,Hamburger,43.84257,-79.390671
39783360,MC DONALD'S,Hamburger,43.826156,-79.556373
39790282,MC DONALD'S,Hamburger,43.839253,-79.303962
40725608,MC DONALD'S,Hamburger,44.088999,-79.134206
41607755,MC DONALD'S,Hamburger,43.744442,-79.405438
41616715,MC DONALD'S,Hamburger,43.654961,-79.380179
41626607,MC DONALD'S,Hamburger,43.727594,-79.32878
41641655,MC DONALD'S,Hamburger,43.657017,-79.43438
41773524,MC DONALD'S,Hamburger,43.756839,-79.520612
41834318,MC DONALD'S,Hamburger,43.732467,-79.404196
41871617,MC DONALD'S,Hamburger,43.615042,-79.556391
42222943,MC DONALD'S,Hamburger,43.525273,-79.901698
42480681,MC DONALD'S,Hamburger,43.705921,-79.782739
42484121,MC DONALD'S,Hamburger,43.695518,-79.772688
42489989,MC DONALD'S,Hamburger,43.689704,-79.741382
42525667,MC DONALD'S,Hamburger,43.577805,-79.653239
42526715,MC DONALD'S,Hamburger,43.57818,-79.613604
42529909,MC DONALD'S,Hamburger,43.571363,-79.628764
42541391,MC DONALD'S,Hamburger,43.637398,-79.691757
42543249,MC DONALD'S,Hamburger,43.638093,-79.719095
42573345,MC DONALD'S,Hamburger,43.566819,-79.730197
42591248,MC DONALD'S,Hamburger,43.484061,-79.719333
42592238,MC DONALD'S,Hamburger,43.456945,-79.682756
42599662,MC DONALD'S,Hamburger,43.51951,-79.683031
42605022,MC DONALD'S,Hamburger,43.440783,-79.739454
42805390,MC DONALD'S,Hamburger,43.577717,-79.757998
43283027,MC DONALD'S,Hamburger,43.644483,-79.38684
43322494,MC DONALD'S,Hamburger,43.66911,-79.386131
44019701,MC DONALD'S,Hamburger,43.806979,-79.482522
44375327,MC DONALD'S,Hamburger,43.757306,-79.467376
44429793,MC DONALD'S,Hamburger,43.796954,-79.205694
44587285,MC DONALD'S,Hamburger,43.63334,-79.542737
44597102,MC DONALD'S,Hamburger,43.795854,-79.419623
44604965,MC DONALD'S,Hamburger,43.712332,-79.535489
44608651,MC DONALD'S,Hamburger,43.709744,-79.474162
44610194,MC DONALD'S,Hamburger,43.720504,-79.511225
44614931,MC DONALD'S,Hamburger,43.63083,-79.517786
44621506,MC DONALD'S,Hamburger,43.738593,-79.240001
44622637,MC DONALD'S,Hamburger,43.775465,-79.25407
44650778,MC DONALD'S,Hamburger,43.650143,-79.405268
44712206,MC DONALD'S,Hamburger,43.643735,-79.404009
44722981,MC DONALD'S,Hamburger,43.639769,-79.447622
44734671,MC DONALD'S,Hamburger,43.671934,-79.467454
44751568,MC DONALD'S,Hamburger,43.677803,-79.44409
44787562,MC DONALD'S,Hamburger,43.709106,-79.294884
44788495,MC DONALD'S,Hamburger,43.728456,-79.285214
44789485,MC DONALD'S,Hamburger,43.782509,-79.292054
45656568,MC DONALD'S,Hamburger,43.443572,-79.670488
45674843,MC DONALD'S,Hamburger,43.859925,-79.717089
45688405,MC DONALD'S,Hamburger,43.545059,-79.685027
45688413,MC DONALD'S,Hamburger,43.580701,-79.75983
46203493,MC DONALD'S,Hamburger,43.713085,-79.553915
47843198,MC DONALD'S,Hamburger,43.895101,-79.442658
48042592,MC DONALD'S,Hamburger,43.680954,-79.343544
48190110,MC DONALD'S,Hamburger,43.837102,-79.088797
48612345,MC DONALD'S,Hamburger,43.683693,-79.812768
50178532,MC DONALD'S,Hamburger,43.963087,-79.241331
50182062,MC DONALD'S,Hamburger,43.829146,-79.540536
50811504,MC DONALD'S,Hamburger,43.758085,-79.313869
51426872,MC DONALD'S,Hamburger,43.775465,-79.25407
51493427,MC DONALD'S,Hamburger,43.650762,-79.378413
51873214,MC DONALD'S,Hamburger,43.727068,-79.291758
52992195,MC DONALD'S,Hamburger,43.750023,-79.541817
28051266,MC DONALD'S RESTAURANTS-CANADA,Hamburger,43.727594,-79.32878
41845595,MAC DONALD RESTAURANT,Hamburger,43.810919,-79.243112
26620179,MAC DONALD'S RESTAURANTS,Hamburger,43.592269,-79.639204
39452792,MAC DONALD'S RESTAURANTS,Hamburger,43.854031,-79.255284
14477913,HARVEY'S,Hamburger,43.611148,-79.581925
14477947,HARVEY'S,Hamburger,43.523495,-79.681078
14477996,HARVEY'S,Hamburger,43.604654,-79.649622
14478283,HARVEY'S,Hamburger,44.066179,-79.430851
14478465,HARVEY'S,Hamburger,43.868212,-79.281085
14478556,HARVEY'S,Hamburger,43.783698,-79.568898
14478564,HARVEY'S,Hamburger,43.480937,-79.695436
14478598,HARVEY'S,Hamburger,43.711568,-79.308311
14478606,HARVEY'S,Hamburger,43.767264,-79.473614
14478705,HARVEY'S,Hamburger,43.865442,-79.038676
14478762,HARVEY'S,Hamburger,43.666499,-79.31558
14478838,HARVEY'S,Hamburger,43.801552,-79.494282
14478879,HARVEY'S,Hamburger,43.731185,-79.710115
14478929,HARVEY'S,Hamburger,43.748954,-79.278223
14478945,HARVEY'S,Hamburger,43.396559,-79.709301
14478952,HARVEY'S,Hamburger,43.66843,-79.395739
14479026,HARVEY'S,Hamburger,43.661249,-79.376289
14479083,HARVEY'S,Hamburger,43.692503,-79.768598
14479109,HARVEY'S,Hamburger,43.791729,-79.393374
14479133,HARVEY'S,Hamburger,43.737825,-79.218349
14479232,HARVEY'S,Hamburger,43.787414,-79.268765
14479240,HARVEY'S,Hamburger,43.522253,-79.901814
14479265,HARVEY'S,Hamburger,43.682676,-79.421042
14479299,HARVEY'S,Hamburger,43.779905,-79.231765
14479349,HARVEY'S,Hamburger,43.690812,-79.575061
14479380,HARVEY'S,Hamburger,43.664109,-79.585082
14479398,HARVEY'S,Hamburger,43.671974,-79.469894
14479406,HARVEY'S,Hamburger,43.624884,-79.508742
14479455,HARVEY'S,Hamburger,43.670599,-79.384564
14479463,HARVEY'S,Hamburger,43.85573,-79.433541
14479497,HARVEY'S,Hamburger,43.983525,-79.464655
16086084,HARVEY'S,Hamburger,43.688103,-79.391702
16275653,HARVEY'S,Hamburger,43.860185,-80.003589
25463894,HARVEY'S,Hamburger,43.648026,-79.379819
26833640,HARVEY'S,Hamburger,43.64919,-79.885219
29130366,HARVEY'S,Hamburger,43.740479,-79.310836
29689643,HARVEY'S,Hamburger,43.653224,-79.379749
29938768,HARVEY'S,Hamburger,43.508138,-79.633261
31030794,HARVEY'S,Hamburger,43.864488,-79.011882
31624794,HARVEY'S,Hamburger,43.472126,-79.697908
32163552,HARVEY'S,Hamburger,43.730081,-79.605538
32163560,HARVEY'S,Hamburger,43.615042,-79.556391
32334070,HARVEY'S,Hamburger,43.791851,-79.544919
32356545,HARVEY'S,Hamburger,43.857772,-79.293809
32428070,HARVEY'S,Hamburger,44.062792,-79.482449
32743593,HARVEY'S,Hamburger,43.730407,-79.418742
32778862,HARVEY'S,Hamburger,43.762226,-79.296878
32778888,HARVEY'S,Hamburger,43.79938,-79.193976
33656646,HARVEY'S,Hamburger,43.708525,-79.312693
33858713,HARVEY'S,Hamburger,43.966949,-79.270733
33885773,HARVEY'S,Hamburger,43.94757,-79.455235
33914284,HARVEY'S,Hamburger,44.298615,-79.472959
34059147,HARVEY'S,Hamburger,43.864488,-79.011882
34217562,HARVEY'S,Hamburger,43.517825,-79.682863
34224998,HARVEY'S,Hamburger,43.7321,-79.763188
34412429,HARVEY'S,Hamburger,43.734385,-79.602501
35171651,HARVEY'S,Hamburger,43.840146,-79.421245
35269224,HARVEY'S,Hamburger,43.649046,-79.372639
35773662,HARVEY'S,Hamburger,43.572445,-79.641944
35840891,HARVEY'S,Hamburger,43.680229,-79.716532
35995182,HARVEY'S,Hamburger,43.739404,-79.235544
36557247,HARVEY'S,Hamburger,43.851716,-79.252809
36572576,HARVEY'S,Hamburger,43.83561,-79.508078
36850428,HARVEY'S,Hamburger,43.733119,-79.452807
37298775,HARVEY'S,Hamburger,43.929437,-80.099887
37332368,HARVEY'S,Hamburger,43.587994,-79.742168
37332376,HARVEY'S,Hamburger,43.598828,-79.782068
37932159,HARVEY'S,Hamburger,43.701173,-79.464007
37939535,HARVEY'S,Hamburger,43.710854,-79.360972
39402656,HARVEY'S,Hamburger,44.062792,-79.482449
41845249,HARVEY'S,Hamburger,43.824915,-79.18951
44375178,HARVEY'S,Hamburger,43.726407,-79.34056
44445856,HARVEY'S,Hamburger,43.648112,-79.507841
45688207,HARVEY'S,Hamburger,43.577915,-79.653428
44599868,HARVEY'S ORIGINAL GRILL,Hamburger,43.648112,-79.507841
48064133,HARVEY'S RESTAURANT,Hamburger,43.716343,-79.455285
51458248,HARVEY'S RESTAURANT,Hamburger,43.726407,-79.34056
51928984,HARVEY'S RESTAURANT,Hamburger,43.615843,-79.688842
52038742,HARVEY'S RESTAURANT,Hamburger,43.480937,-79.695436
52783974,HARVEY'S RESTAURANT,Hamburger,43.671934,-79.467454
16275497,HARVEY'S RESTAURANTS,Hamburger,43.691519,-79.625808
52816949,HARVEY'S RESTAURANTS,Hamburger,43.710854,-79.360972
52978038,HARVEY'S RESTAURANTS,Hamburger,43.733119,-79.452807
50948199,A & W AJAX,Hamburger,43.846251,-79.019544
12903241,A & W ALL-AMERICAN FOOD,Hamburger,43.865646,-79.291426
52816188,A & W ALL-AMERICAN FOOD,Hamburger,43.670398,-79.386442
12902813,A & W FAMILY RESTAURANT,Hamburger,43.71731,-79.723459
12902862,A & W FAMILY RESTAURANT,Hamburger,43.632675,-79.554698
12902904,A & W FAMILY RESTAURANT,Hamburger,43.558745,-79.706926
12902987,A & W FAMILY RESTAURANT,Hamburger,43.462635,-79.688579
12903027,A & W FAMILY RESTAURANT,Hamburger,43.654464,-79.380279
12903068,A & W FAMILY RESTAURANT,Hamburger,43.725868,-79.457223
12903167,A & W FAMILY RESTAURANT,Hamburger,43.855701,-79.43378
12903175,A & W FAMILY RESTAURANT,Hamburger,43.592269,-79.639204
26135293,A & W FAMILY RESTAURANT,Hamburger,43.824165,-79.263407
26805663,A & W FAMILY RESTAURANT,Hamburger,43.666796,-79.734268
27199322,A & W FAMILY RESTAURANT,Hamburger,43.775465,-79.25407
29845450,A & W FAMILY RESTAURANT,Hamburger,43.518136,-79.877037
31624612,A & W FAMILY RESTAURANT,Hamburger,43.417081,-79.715027
32181059,A & W FAMILY RESTAURANT,Hamburger,43.707217,-79.398593
33093030,A & W FAMILY RESTAURANT,Hamburger,43.522365,-79.893304
36847812,A & W FAMILY RESTAURANT,Hamburger,43.768649,-79.388365
37331956,A & W FAMILY RESTAURANT,Hamburger,43.587207,-79.6378
38362778,A & W FAMILY RESTAURANT,Hamburger,43.764748,-79.301677
38624730,A & W FAMILY RESTAURANT,Hamburger,43.73649,-79.7041
