"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"

5370003.03,0003.03,16.30,27.10,25.50,14.90,3.90,12.40,235.00,200.00,30.00,705.00,600.00,105.00,940.00,3200.00,2000.00,1190.00,480.00,55.00,225.00,330.00,95.00,210.00,120.00
5370003.04,0003.04,17.40,30.00,38.70,16.70,5.00,9.40,495.00,405.00,90.00,1195.00,995.00,195.00,1685.00,5865.00,3975.00,1725.00,660.00,180.00,315.00,425.00,150.00,200.00,230.00
5370004.01,0004.01,16.30,28.30,33.30,15.70,7.90,13.10,260.00,215.00,40.00,670.00,555.00,115.00,925.00,3345.00,2300.00,1010.00,390.00,60.00,105.00,275.00,180.00,170.00,105.00
5370004.02,0004.02,15.90,27.60,29.10,14.40,8.00,7.20,345.00,290.00,50.00,865.00,745.00,115.00,1205.00,4080.00,2890.00,1175.00,400.00,155.00,215.00,285.00,130.00,105.00,180.00
5370005.01,0005.01,12.90,21.40,19.00,11.80,8.80,6.90,360.00,290.00,65.00,1345.00,1175.00,170.00,1705.00,5935.00,4245.00,1650.00,730.00,185.00,305.00,320.00,100.00,175.00,150.00
5370005.02,0005.02,10.40,15.60,11.80,9.80,5.20,8.40,285.00,245.00,40.00,840.00,710.00,135.00,1125.00,3830.00,2990.00,835.00,335.00,100.00,135.00,185.00,85.00,80.00,105.00
5370005.03,0005.03,9.70,18.10,19.50,9.00,4.20,7.90,220.00,185.00,40.00,945.00,860.00,85.00,1170.00,3825.00,2620.00,1195.00,695.00,110.00,220.00,155.00,15.00,65.00,95.00
5370006.00,0006.00,9.60,12.60,16.10,10.20,5.30,7.10,315.00,250.00,70.00,1035.00,855.00,180.00,1355.00,4895.00,3970.00,910.00,375.00,145.00,135.00,145.00,120.00,55.00,90.00
5370007.00,0007.00,13.00,12.00,16.30,11.00,18.90,7.60,195.00,155.00,40.00,760.00,590.00,170.00,955.00,3550.00,2975.00,575.00,290.00,55.00,60.00,95.00,80.00,25.00,75.00
5370008.00,0008.00,11.70,15.60,12.00,10.70,10.90,6.40,120.00,90.00,30.00,485.00,390.00,95.00,605.00,2095.00,1625.00,470.00,240.00,60.00,100.00,60.00,15.00,25.00,35.00
5370009.00,0009.00,19.30,29.70,32.10,16.20,17.90,9.00,275.00,220.00,50.00,740.00,645.00,95.00,1010.00,3720.00,2655.00,1060.00,420.00,190.00,175.00,175.00,100.00,75.00,100.00
5370010.00,0010.00,9.60,10.00,10.00,10.60,6.70,4.70,225.00,175.00,45.00,675.00,550.00,125.00,900.00,3005.00,2350.00,650.00,295.00,60.00,100.00,120.00,75.00,35.00,85.00
5370011.00,0011.00,10.20,11.40,13.00,11.10,5.30,7.30,130.00,105.00,25.00,510.00,425.00,85.00,640.00,2185.00,1640.00,520.00,245.00,25.00,40.00,170.00,40.00,85.00,90.00
5370012.00,0012.00,30.20,34.90,40.00,33.00,10.00,14.50,105.00,90.00,10.00,235.00,190.00,40.00,340.00,1500.00,930.00,340.00,55.00,25.00,105.00,125.00,30.00,70.00,50.00
5370013.00,0013.00,7.50,9.50,6.90,8.50,3.20,5.60,135.00,95.00,35.00,685.00,605.00,85.00,820.00,2800.00,2215.00,575.00,250.00,65.00,110.00,120.00,35.00,90.00,30.00
5370014.00,0014.00,5.20,6.10,6.50,6.40,2.50,4.70,125.00,90.00,35.00,695.00,620.00,80.00,820.00,2645.00,2020.00,605.00,305.00,60.00,120.00,95.00,30.00,55.00,35.00
5370015.00,0015.00,5.80,3.90,4.80,4.10,10.70,3.60,55.00,45.00,10.00,405.00,345.00,60.00,460.00,1665.00,1295.00,365.00,225.00,50.00,30.00,50.00,15.00,10.00,45.00
5370016.00,0016.00,3.10,4.50,0.00,3.70,5.00,4.30,10.00,10.00,5.00,130.00,125.00,5.00,140.00,500.00,400.00,105.00,40.00,10.00,30.00,25.00,0.00,10.00,20.00
5370017.00,0017.00,4.50,4.70,2.40,5.20,2.70,4.20,105.00,90.00,20.00,895.00,780.00,110.00,1000.00,3475.00,2835.00,605.00,330.00,65.00,110.00,80.00,30.00,50.00,30.00
5370018.00,0018.00,,,,,,,,,,,,,,,,,,,,,,,
5370019.00,0019.00,16.20,17.10,19.60,18.00,7.80,6.70,215.00,175.00,40.00,825.00,680.00,150.00,1045.00,4015.00,3090.00,805.00,280.00,55.00,125.00,160.00,180.00,90.00,70.00
5370020.00,0020.00,8.30,9.60,10.20,8.50,6.70,5.80,250.00,200.00,55.00,905.00,725.00,180.00,1155.00,3840.00,3225.00,580.00,295.00,70.00,60.00,95.00,55.00,35.00,60.00
5370021.00,0021.00,12.60,17.90,19.60,12.10,8.10,8.20,315.00,265.00,45.00,935.00,690.00,245.00,1250.00,4525.00,3580.00,905.00,280.00,90.00,130.00,195.00,210.00,65.00,130.00
5370022.00,0022.00,13.70,20.00,21.60,14.10,7.50,6.50,320.00,240.00,75.00,970.00,680.00,285.00,1285.00,4715.00,3860.00,780.00,360.00,85.00,60.00,135.00,140.00,80.00,55.00
5370023.00,0023.00,6.00,8.00,3.80,6.30,4.40,5.60,110.00,90.00,20.00,565.00,455.00,105.00,675.00,2235.00,1855.00,380.00,185.00,40.00,55.00,90.00,10.00,30.00,60.00
5370024.00,0024.00,7.20,9.20,12.50,7.50,5.10,8.40,145.00,125.00,20.00,605.00,510.00,90.00,750.00,2480.00,2040.00,430.00,285.00,30.00,20.00,35.00,60.00,0.00,35.00
5370025.00,0025.00,6.00,7.90,5.10,6.50,4.30,6.70,175.00,130.00,40.00,675.00,540.00,130.00,850.00,2875.00,2465.00,395.00,195.00,60.00,80.00,35.00,20.00,20.00,20.00
5370026.01,0026.01,15.50,24.50,28.90,15.40,10.10,7.30,235.00,190.00,40.00,700.00,580.00,120.00,930.00,3360.00,2205.00,1135.00,450.00,80.00,360.00,160.00,85.00,75.00,85.00
5370026.02,0026.02,13.00,18.90,27.30,14.00,10.70,5.10,95.00,75.00,20.00,360.00,315.00,45.00,450.00,1725.00,1055.00,650.00,370.00,25.00,140.00,90.00,20.00,75.00,20.00
5370026.03,0026.03,2.90,3.40,6.70,3.20,1.00,6.00,90.00,70.00,15.00,575.00,540.00,35.00,665.00,2040.00,1195.00,840.00,560.00,70.00,120.00,85.00,0.00,55.00,30.00
5370026.04,0026.04,4.90,8.50,11.80,3.90,3.70,10.30,85.00,70.00,15.00,380.00,345.00,35.00,470.00,1675.00,1205.00,460.00,285.00,60.00,25.00,55.00,30.00,20.00,40.00
5370026.05,0026.05,15.40,33.30,44.80,14.20,4.00,9.60,370.00,295.00,75.00,915.00,770.00,145.00,1280.00,4040.00,2775.00,1220.00,635.00,120.00,230.00,180.00,65.00,90.00,90.00
5370026.06,0026.06,15.70,24.60,28.60,14.40,4.80,9.60,500.00,400.00,100.00,1075.00,860.00,215.00,1575.00,5430.00,3410.00,1970.00,405.00,285.00,555.00,465.00,255.00,305.00,165.00
5370027.00,0027.00,8.40,10.00,0.00,8.70,6.50,4.80,80.00,60.00,15.00,240.00,180.00,60.00,320.00,1065.00,815.00,250.00,135.00,65.00,35.00,10.00,0.00,10.00,0.00
5370028.00,0028.00,9.10,12.70,13.00,8.50,8.40,7.60,195.00,150.00,45.00,605.00,460.00,145.00,805.00,2645.00,2145.00,490.00,300.00,40.00,95.00,45.00,15.00,30.00,15.00
5370029.00,0029.00,12.70,15.20,20.00,12.80,10.10,9.50,305.00,240.00,65.00,935.00,655.00,280.00,1240.00,4350.00,3645.00,665.00,355.00,100.00,75.00,75.00,60.00,25.00,50.00
5370030.00,0030.00,7.30,8.10,10.50,7.20,5.60,8.40,240.00,200.00,40.00,960.00,745.00,210.00,1200.00,3975.00,3490.00,470.00,250.00,50.00,40.00,100.00,35.00,75.00,25.00
5370031.00,0031.00,9.70,7.70,8.70,10.50,6.90,10.80,110.00,80.00,25.00,465.00,365.00,100.00,575.00,2105.00,1870.00,230.00,160.00,0.00,10.00,45.00,15.00,40.00,0.00
5370032.00,0032.00,23.90,28.70,27.10,23.60,20.20,12.70,245.00,200.00,45.00,535.00,360.00,175.00,780.00,3085.00,2560.00,490.00,230.00,85.00,105.00,45.00,30.00,10.00,30.00
5370033.00,0033.00,21.20,24.30,22.50,21.70,14.30,8.40,190.00,150.00,40.00,585.00,405.00,180.00,775.00,2840.00,2300.00,500.00,205.00,80.00,55.00,55.00,105.00,35.00,25.00
5370034.00,0034.00,32.80,47.00,45.20,32.70,17.60,9.90,280.00,245.00,40.00,845.00,535.00,310.00,1135.00,5085.00,2965.00,1820.00,345.00,145.00,265.00,420.00,650.00,210.00,210.00
