TRACT,CTNAME,LICO_AT_ALL,Unemployment_Rate,LONE_PARENT,LONE_PARENT_F,LONE_PARENT_M,TOTAL_FAMILIES,POPULATION,COL16,IMMIGRANTS,IMM_1981,IMM_81_TO_90,IMM_91_00,IMM_01_TO_10,IMM_11_TO16
5370050.00,50,37.5,14.2,290,235,55,875,3670,2645,985,315,155,165,165,190
5370051.00,51,38.3,12.1,350,305,45,970,4440,3220,1195,265,195,245,335,160
5370052.00,52,23.6,12.1,285,225,60,920,3385,2790,565,265,120,65,85,35
5370053.00,53,18.8,9.9,235,185,45,860,3085,2655,425,210,65,65,90,0
5370054.00,54,16.3,8.2,210,170,45,725,2540,2200,345,165,45,35,70,35
5370055.00,55,12.5,6.4,220,185,35,810,2995,2590,395,185,55,65,60,25
5370056.00,56,10.5,5.9,270,205,70,940,3235,2710,505,250,85,70,75,25
5370057.00,57,19.4,9.8,295,225,70,875,2885,2545,330,135,60,65,50,20
5370058.00,58,20.8,7.9,205,175,35,655,2375,2035,345,95,95,50,65,35
5370059.00,59,23.2,8,285,225,55,825,3045,2575,465,160,75,100,45,80
5370060.00,60,20.9,11.5,240,180,55,715,2720,2175,535,220,115,105,45,45
5370061.00,61,31.6,12.3,280,240,45,755,2735,1975,745,240,165,95,105,130
5370062.00,62,22.9,9.8,245,190,55,850,3100,2150,940,350,240,140,125,85
5370063.00,63,33.9,11.2,165,135,30,565,2430,1410,930,200,145,175,320,85
5370064.00,64,18.6,11.5,95,75,20,405,1630,1030,575,250,130,80,80,35
5370065.00,65,28.8,9.6,190,155,35,625,2455,1250,1120,180,185,160,270,320
5370066.00,66,19.8,7.1,375,310,60,1355,4970,3560,1395,535,240,210,270,135
5370067.00,67,22.1,11,160,125,35,495,1700,1515,185,65,25,50,25,15
5370068.00,68,31.6,16.2,75,60,15,215,855,805,50,40,0,0,10,0
5370069.00,69,22.4,14.3,90,80,15,235,965,885,65,30,10,0,20,10
5370070.00,70,10.2,10.1,135,100,35,600,2230,1910,315,130,80,30,55,25
5370071.00,71,29,10.5,650,535,115,1730,6515,5080,1395,365,170,185,470,205
5370072.01,72.01,,0,5,0,0,35,85,55,35,20,10,0,10,0
5370072.02,72.02,21,10.3,285,235,50,1065,3970,2325,1605,675,190,385,235,125
5370072.03,72.03,25.4,10.3,480,385,95,1800,6545,3350,3030,435,345,680,695,875
